Item;Condition;ID;MD5 hash of participant's IP address;Original_Value;Changed_Value;IsQuestionable;Discussion_ML;Discussion_TL;Discussion_BD
1;A;1228;2817aa3ba5ce3496c4222adb7a6aa37c;think about what is next.;think;FALSE;maybe?;think;think
;A;6957;83d8403f227baca0464166c404dc0dc2;take a break;pause;FALSE;;pause;stop
;A;11881;14399e53229004f2c85ec3810d5cf776;Replace the broken apparatus;;FALSE;;replace;replace
;B;2511;9a8edf1b84fcdd4e9692881d31a5a26e;do more science.;;FALSE;;;do
;B;4146;559a558cc071b904f807f21b428370da;pause work for the day;pause;FALSE;;pause;stop
;B;8230;6df37ff0405e34325f86235ab8e45b66;fix it;fix it;FALSE;;fix;fix
;B;9047;3028e7887ad94e66d4f5fe907c30cc88;because the apparatus broke down.;;TRUE;;;/
;C;738;b8b10c5c32c46a8f278dc868ef65fd9d;commence;;FALSE;;;/
;C;5649;38515a2d399231bb4340622c162d7b1a;decided;;TRUE;;;decide
;C;6468;bac07a9a07d31bd971ed4288f10499d6;come back tomorrow ;come back;FALSE;Do you think it is too intervening if we include this to leave?;come back;come back
;C;11391;4f1511992b86c3d28f958bcbf4d56511;Once the apparatus broke down%2C the scientist inside of the science room has to ;;TRUE;;;/
;C;13844;773048bc5ea832a6a6fb93f6da578bc6;leave;;FALSE;;;/
;C;15482;bc3b5c51f98f643be9a99134572a2170;leave;;FALSE;;;/
;D;2214;2b7058890eefa22341aa295a036985a9;recuperate ;;FALSE;I am not sure what's the meaning of this? I know that this word actually means recover but does it have other meanings as well?;recuperate;/
;D;3853;58538dcb3f84e420200c601a4903dbef;take it into their own hands and fix it;fix it;FALSE;;fix;fix
;D;7937;61f3559549de508d322e493e3c8fe90c;The scientist in the garage;;TRUE;;;/
;D;10397;64e64662aa8b1a57c3e5254b48652bcc;take a break;pause;FALSE;;pause;stop
;D;12863;8e6ad748c0685eaeffbadbae0050306d;pass;;FALSE;this seems a bit off;;/
;D;14498;46c4212ded545ed717b0ff376752ae11;proceed without the others;proceed;FALSE;maybe?;proceed;proceed
;D;16139;9f8736428d68ef86c654e1f0f0b1058e;go home for the day;leave;FALSE;;go home;go home
2;A;3027;9a8edf1b84fcdd4e9692881d31a5a26e;return the books;;FALSE;;return them;return
;A;4660;559a558cc071b904f807f21b428370da;continue to work at sorting the books.;sort them;FALSE;I think this is safe to merge, right?;sort them;sort
;A;8744;6df37ff0405e34325f86235ab8e45b66;sort them;;FALSE;;sort them;sort
;A;9562;3028e7887ad94e66d4f5fe907c30cc88;by the librarian by the library cart;;TRUE;;;/
;B;659;b8b10c5c32c46a8f278dc868ef65fd9d;stocks them;stock them;FALSE;;stock them;stock
;B;5571;38515a2d399231bb4340622c162d7b1a;left;;TRUE;this seems a bit off, maybe they forgot more than the location;leave;leave
;B;6389;bac07a9a07d31bd971ed4288f10499d6;get back to organizing the books;sort them;FALSE;Do you think this merging stands?;sort them;get back
;B;11311;4f1511992b86c3d28f958bcbf4d56511;The librarian in the library after his ? left has to ;;TRUE;;;/
;B;13766;773048bc5ea832a6a6fb93f6da578bc6;close the door;;FALSE;definitely they forgot the location;close it;close
;B;15404;bc3b5c51f98f643be9a99134572a2170;move the cart;;FALSE;;move it;move
;C;2279;2b7058890eefa22341aa295a036985a9;lay books;;FALSE;;poor English;lie
;C;3917;58538dcb3f84e420200c601a4903dbef;get up and leave aswell;leave;FALSE;;leave;leave
;C;8001;61f3559549de508d322e493e3c8fe90c;s his colleagues left;;TRUE;;leave;/
;C;10461;64e64662aa8b1a57c3e5254b48652bcc;try to get books for himself;;FALSE;;get them;get
;C;12927;8e6ad748c0685eaeffbadbae0050306d;pay;;FALSE;;pay;/
;C;14562;46c4212ded545ed717b0ff376752ae11;leave as well;leave;FALSE;;leave;leave
;C;16203;9f8736428d68ef86c654e1f0f0b1058e;stock the books;;FALSE;;stock them;stock
;D;1312;2817aa3ba5ce3496c4222adb7a6aa37c;leave with the colleague. ;leave;FALSE;;leave;leave
;D;7041;83d8403f227baca0464166c404dc0dc2;order another drink;order;FALSE;;order;order
;D;11967;14399e53229004f2c85ec3810d5cf776;Check the rest;;FALSE;it seems that they forgot the location too;;check
3;A;828;b8b10c5c32c46a8f278dc868ef65fd9d;return;;FALSE;;return;/
;A;5738;38515a2d399231bb4340622c162d7b1a;gate;;TRUE;;;/
;A;6557;bac07a9a07d31bd971ed4288f10499d6;get ready;;FALSE;;;/
;A;11481;4f1511992b86c3d28f958bcbf4d56511;s the ?? began lining up%2C the driver at the station had to;;TRUE;;;/
;A;13933;773048bc5ea832a6a6fb93f6da578bc6;leave;;FALSE;;;/
;A;15572;bc3b5c51f98f643be9a99134572a2170;open;;FALSE;I think they got confused on this one that the gate will open and not what the passenger will do at the gate :/, I wouldn't throw them out bc I think these are issues that we may want to report as problems of the stimuli in our report;;/
;B;1947;2b7058890eefa22341aa295a036985a9;get in;board;FALSE;;board;/
;B;3588;58538dcb3f84e420200c601a4903dbef;rush the door;hurry;FALSE;maybe?;rush;rush
;B;7673;61f3559549de508d322e493e3c8fe90c;The travelers at the gate;;TRUE;;;/
;B;10128;64e64662aa8b1a57c3e5254b48652bcc;line up as well;line up;FALSE;;line up;line up
;B;12599;8e6ad748c0685eaeffbadbae0050306d;board;;FALSE;;board;/
;B;14233;46c4212ded545ed717b0ff376752ae11;proceed to depart;board;FALSE;maybe?;;proceed
;B;15872;9f8736428d68ef86c654e1f0f0b1058e;line up as well;line up;FALSE;;line up;line up
;C;1091;2817aa3ba5ce3496c4222adb7a6aa37c;swim to shore.;swim;FALSE;;swim;swim
;C;6820;83d8403f227baca0464166c404dc0dc2;jump excitedly;;FALSE;;jump;jump
;C;11744;14399e53229004f2c85ec3810d5cf776;exciting;;TRUE;;;/
;D;2833;9a8edf1b84fcdd4e9692881d31a5a26e;talk about their vacations;;FALSE;;talk;talk
;D;4467;559a558cc071b904f807f21b428370da;be ready to go out on the water.;get out of the water;FALSE;or maybe smth shorter, like get out?;;get ready
;D;8551;6df37ff0405e34325f86235ab8e45b66;line up behind them;line up;FALSE;;line up;line up
;D;9369;3028e7887ad94e66d4f5fe907c30cc88;as people started lining up;;TRUE;;;/
4;A;1926;2b7058890eefa22341aa295a036985a9;rap;;FALSE;;rap;/
;A;3568;58538dcb3f84e420200c601a4903dbef;start rapping;rap;FALSE;;rap;rap
;A;7653;61f3559549de508d322e493e3c8fe90c;When the beat drop the rapper on the stage began;;TRUE;;;/
;A;10108;64e64662aa8b1a57c3e5254b48652bcc;rap;;FALSE;;rap;/
;A;12579;8e6ad748c0685eaeffbadbae0050306d;rhyme;rap;FALSE;maybe?;rhyme;/
;A;14213;46c4212ded545ed717b0ff376752ae11;perform;;FALSE;;perform;/
