id;Item;Condition;Group;Context;Sentence;Target;Question;QuestionCorrect;Left;Right;IsQuestion
89;1;A;1;Some of the scientists were conducting experiments today.;Because the apparatus broke down, the scientist in the laboratory decided to;stop;;;No;Yes;no
112;1;B;2;Some of the scientists were conducting experiments today.;The scientist in the laboratory, because the apparatus broke down, decided to;stop;;;No;Yes;no
125;1;C;3;Some of the scientists were conducting experiments today.;Because the apparatus broke down, the scientist in the parking garage decided to;park;;;No;Yes;no
129;1;D;4;Some of the scientists were conducting experiments today.;The scientist in the parking garage, because the apparatus broke down, decided to;park;;;No;Yes;no
4;2;A;2;New books arrive at the library.;As his colleague left, the librarian by the library cart would;sort;;;No;Yes;no
33;2;B;3;New books arrive at the library.;The librarian by the library cart, as his colleague left, would;sort;;;No;Yes;no
62;2;C;4;New books arrive at the library.;As his colleague left, the librarian in the bar would;drink;;;No;Yes;no
261;2;D;1;New books arrive at the library.;The librarian in the bar, as his colleague left, would;drink;;;No;Yes;no
87;3;A;3;Everybody was excited about their vacations.;As people started lining up, the traveler at the gate would;board;;;No;Yes;no
135;3;B;4;Everybody was excited about their vacations.;The traveler at the gate, as people started lining up, would;board;;;No;Yes;no
153;3;C;1;Everybody was excited about their vacations.;As people started lining up, the traveler in the lake would;swim;;;No;Yes;no
267;3;D;2;Everybody was excited about their vacations.;The traveler in the lake, as people started lining up, would;swim;;;No;Yes;no
25;4;A;4;The show was being prepared.;When the beat dropped, the rapper on the stage began to;sing;;;No;Yes;no
48;4;B;1;The show was being prepared.;The rapper on the stage, when the beat dropped, began to;sing;;;No;Yes;no
279;4;C;2;The show was being prepared.;When the beat dropped, the rapper in the studio began to;record;;;No;Yes;no
313;4;D;3;The show was being prepared.;The rapper in the studio, when the beat dropped, began to;record;;;No;Yes;no
157;5;A;1;It is almost summer and the temperature is rising.;Because he was thirsty, the athlete on the track decided to;hydrate;;;No;Yes;no
161;5;B;2;It is almost summer and the temperature is rising.;The athlete on the track, because he was thirsty, decided to;hydrate;;;No;Yes;no
255;5;C;3;It is almost summer and the temperature is rising.;Because he was thirsty, the athlete in the taxi decided to;get off;;;No;Yes;no
265;5;D;4;It is almost summer and the temperature is rising.;The athlete in the taxi, because he was thirsty, decided to;get off;;;No;Yes;no
158;6;A;2;The restaurant was making preparations for the evening.;After the potatoes were delivered, the cook in the kitchen had to;peel;Was the restaurant preparing lunch?;No;No;Yes;yes
160;6;B;3;The restaurant was making preparations for the evening.;The cook in the kitchen, after the potatoes were delivered, had to;peel;Was the restaurant preparing lunch?;No;No;Yes;yes
221;6;C;4;The restaurant was making preparations for the evening.;After the potatoes were delivered, the cook in the garden had to;prune;Was the restaurant preparing lunch?;No;No;Yes;yes
260;6;D;1;The restaurant was making preparations for the evening.;The cook in the garden, after the potatoes were delivered, had to;prune;Was the restaurant preparing lunch?;No;No;Yes;yes
30;7;A;3;A rock concert is about to begin.;As the lights dimmed, the fan in the front row will;cheer;Is an opera about to begin?;No;No;Yes;yes
34;7;B;4;A rock concert is about to begin.;The fan in the front row, as the lights dimmed, will;cheer;Is an opera about to begin?;No;No;Yes;yes
190;7;C;1;A rock concert is about to begin.;As the lights dimmed, the fan stuck in traffic will;sigh;Is an opera about to begin?;No;No;Yes;yes
237;7;D;2;A rock concert is about to begin.;The fan stuck in traffic, as the lights dimmed, will;sigh;Is an opera about to begin?;No;No;Yes;yes
53;8;A;4;The passenger was getting ready for the journey.;As the train arrives, the traveler on the platform must;board;Does the train arrive?;Yes;No;Yes;yes
